id,timestamp,symbol,side,qty,price,fee
T0001,2026-06-02T18:50:25.563Z,NVDA,buy,5.6908,114.07,0.39
T0002,2026-06-03T00:29:23.571Z,NVDA,sell,5.6908,119.1,0.41
T0003,2026-06-04T11:51:29.023Z,SOL,buy,6.6558,133.46,0.53
T0004,2026-06-04T13:12:31.181Z,SOL,sell,6.6558,140.51,0.56
T0005,2026-06-05T03:14:07.473Z,COIN,buy,2.1662,227.5,0.3
T0006,2026-06-06T08:17:39.237Z,COIN,buy,2.8914,218.79,0.38
T0007,2026-06-06T15:28:19.993Z,COIN,buy,2.8047,209.61,0.35
T0008,2026-06-11T05:15:14.334Z,COIN,sell,7.8623,195.75,0.92
T0009,2026-06-11T06:19:25.400Z,SOL,buy,13.1043,149.99,1.18
T0010,2026-06-11T09:20:51.232Z,SOL,sell,13.1043,154.76,1.22
T0011,2026-06-12T17:50:35.830Z,SOL,buy,3.7602,153.34,0.35
T0012,2026-06-12T22:46:42.389Z,SOL,sell,3.7602,160.03,0.36
T0013,2026-06-14T11:30:55.016Z,ETH,buy,0.2093,3213.01,0.4
T0014,2026-06-15T13:22:58.637Z,ETH,buy,0.1699,3044.11,0.31
T0015,2026-06-17T13:48:12.865Z,ETH,sell,0.3792,2879.55,0.66
T0016,2026-06-17T14:06:25.265Z,NVDA,buy,9.1999,121.32,0.67
T0017,2026-06-21T11:00:30.817Z,NVDA,sell,9.1999,99.78,0.55
T0018,2026-06-21T11:46:39.898Z,MSTR,buy,14.9233,148.98,1.33
T0019,2026-06-22T07:25:24.218Z,MSTR,buy,14.9815,141.71,1.27
T0020,2026-06-26T03:28:11.870Z,MSTR,sell,29.9048,119.41,2.14
T0021,2026-06-26T04:52:38.157Z,SOL,buy,49.1091,157.39,4.64
T0022,2026-06-26T15:54:58.508Z,SOL,sell,49.1091,164.12,4.84
T0023,2026-06-28T17:46:32.932Z,MSTR,buy,4.3316,162.14,0.42
T0024,2026-06-28T21:32:48.105Z,MSTR,sell,4.3316,171.42,0.45
T0025,2026-06-30T09:27:10.533Z,MSTR,buy,4.0271,172.09,0.42
T0026,2026-07-02T05:37:33.228Z,MSTR,sell,4.0271,141.77,0.34
T0027,2026-07-02T06:43:02.872Z,ETH,buy,0.344,3231.61,0.67
T0028,2026-07-02T09:13:28.858Z,ETH,sell,0.344,3407.83,0.7
T0029,2026-07-03T22:34:41.932Z,COIN,buy,2.1742,210.03,0.27
T0030,2026-07-04T01:17:30.433Z,COIN,sell,2.1742,217.71,0.28
T0031,2026-07-05T11:36:52.403Z,BTC,buy,0.0142,58170.08,0.5
T0032,2026-07-05T16:20:21.741Z,BTC,sell,0.0142,60478.54,0.52
T0033,2026-07-07T06:14:49.064Z,TSLA,buy,3.4657,254.68,0.53
T0034,2026-07-07T18:06:34.799Z,TSLA,sell,3.4657,269.14,0.56
T0035,2026-07-08T05:13:27.429Z,SOL,buy,3.9477,144.62,0.34
T0036,2026-07-09T06:27:37.077Z,SOL,buy,4.7232,140.16,0.4
T0037,2026-07-12T14:55:23.884Z,SOL,sell,8.6709,117.87,0.61
T0038,2026-07-12T16:45:44.918Z,COIN,buy,12.5782,191.92,1.45
T0039,2026-07-13T14:29:07.342Z,COIN,buy,17.1989,182.76,1.89
T0040,2026-07-17T01:09:41.749Z,COIN,sell,29.777,168.74,3.01
T0041,2026-07-17T16:56:09.701Z,SOL,buy,3.0484,153.1,0.28
T0042,2026-07-18T12:34:30.399Z,SOL,buy,3.9446,145.14,0.34
T0043,2026-07-22T21:59:46.647Z,SOL,sell,6.993,132.36,0.56
T0044,2026-07-25T04:25:39.916Z,SOL,buy,2.6814,157.65,0.25
T0045,2026-07-25T12:22:52.609Z,SOL,sell,2.6814,165.13,0.27
T0046,2026-07-27T04:43:36.465Z,SOL,buy,3.1019,133.88,0.25
T0047,2026-07-27T12:30:07.660Z,SOL,sell,3.1019,141.08,0.26
T0048,2026-07-29T00:09:06.211Z,ETH,buy,0.1351,3075.93,0.25
T0049,2026-07-29T06:55:49.173Z,ETH,sell,0.1351,3181.28,0.26
T0050,2026-07-31T12:14:49.947Z,BTC,buy,0.0127,58808.33,0.45
T0051,2026-07-31T15:17:40.825Z,BTC,sell,0.0127,60489.79,0.46
T0052,2026-08-01T06:30:24.093Z,SOL,buy,5.8651,143.39,0.5
T0053,2026-08-01T12:44:24.281Z,SOL,sell,5.8651,148.86,0.52
T0054,2026-08-02T11:21:30.818Z,MSTR,buy,2.3252,158.1,0.22
T0055,2026-08-02T23:04:04.785Z,MSTR,sell,2.3252,162.95,0.23
T0056,2026-08-05T00:42:32.074Z,BTC,buy,0.0124,60367.07,0.45
T0057,2026-08-05T06:22:15.652Z,BTC,sell,0.0124,62057.86,0.46
T0058,2026-08-06T13:51:12.524Z,COIN,buy,1.713,225.99,0.23
T0059,2026-08-07T00:53:08.990Z,COIN,buy,1.8268,213.29,0.23
T0060,2026-08-07T03:07:34.600Z,COIN,buy,1.7053,198.62,0.2
T0061,2026-08-09T22:05:46.091Z,COIN,sell,5.245,194.54,0.61
